Outdoor Temperature,Outdoor Relative Humidity,Wind Direction,Wind Speed,GHR,DNR,Indoor Temperature
17.161,51.909,115.5893333,1.685333333,60,355,18.35600863
18.4225,47.8115,120.226,1.259833333,90,563,19.39482949
20.17516667,44.2605,168.628,0.716666667,103,689,21.0912155
19.93916667,48.88833333,326.8691667,0.906166667,105,723,22.27386143
20.303,52.77,278.4111667,0.8115,100,777,22.97718186
20.34466667,54.46283333,320.2708333,1.207666667,101,703,23.51621064
20.73816667,54.317,204.2661667,0.868,104,540,23.82815513
20.31416667,55.51433333,261.4356667,0.935,80,389,23.63678994
19.72383333,57.6125,270.766,0.818833333,33,156,22.92162721
19.039,60.3785,256.1248333,0.5985,4,0,21.98566032
18.06833333,56.98166667,125.1466667,1.8085,63,230,19.29464515
18.976,53.636,127.161,0.996666667,95,383,19.9569442
19.96,51.31466667,109.8755,1.122833333,118,363,21.03772998
19.856,56.85316667,256.3751667,1.512333333,143,303,21.66904463
19.5125,61.89683333,185.382,1.610333333,138,394,21.82758095
19.62333333,61.82766667,233.6145,1.756666667,125,406,21.92174091
19.69666667,62.83033333,242.6448333,1.626333333,112,365,22.11122385
19.8745,61.36433333,268.219,1.494666667,71,276,22.17758183
19.54666667,62.72616667,252.7823333,1.3085,26,89,21.88753131
19.01783333,65.20466667,263.4183333,0.9655,4,0,21.27230548
17.52066667,68.69633333,121.9771667,1.3765,70,184,18.43532727
18.49316667,63.73466667,120.7885,1.655333333,113,310,19.24144087
19.20233333,64.4095,125.7016667,1.248833333,129,425,20.31777635
20.009,64.67683333,187.7883333,0.683666667,156,404,21.3653012
19.91416667,66.54966667,167.4986667,1.801166667,159,404,21.99640167
19.36333333,73.37366667,202.5241667,0.582,147,447,22.11937338
20.11966667,67.10783333,248.4285,1.092333333,127,394,22.42320557
20.00566667,70.211,210.5741667,0.786,80,311,22.58945386
19.26033333,73.41566667,190.4223333,0.805166667,33,140,22.03777118
19.05166667,70.00166667,146.666,0.647833333,5,0,21.36333772
18.41583333,58.486,100.5081667,1.432,68,291,19.17707775
19.43566667,57.55816667,142.0838333,1.804166667,105,438,20.21055539
20.0115,61.2685,137.2531667,1.546166667,112,616,21.31901096
20.16433333,62.42,137.3648333,2.401,133,600,22.16888904
20.03016667,60.85533333,194.9336667,1.416,156,466,22.57717645
18.942,70.6405,194.3698333,1.584833333,137,434,22.32673838
18.58516667,76.617,156.6558333,1.048333333,106,444,21.90251914
18.904,70.40566667,131.4938333,0.934166667,78,343,21.75163382
18.56616667,64.64333333,112.592,2.006,36,124,21.362558
18.55133333,65.82016667,123.1608333,1.771833333,5,0,20.86723623
16.76733333,81.27266667,122.5773333,1.539333333,56,236,18.47897171
17.18366667,77.43766667,119.2576667,1.768,83,404,18.70851778
18.873,69.2015,98.079,1.905666667,105,600,19.97005326
19.363,69.5455,130.4013333,1.3575,118,697,21.31087753
19.523,71.99866667,130.0696667,1.861,127,636,22.074101
19.4445,75.43483333,172.8971667,1.8405,133,526,22.41763879
18.75383333,81.2455,198.8926667,0.746333333,109,478,22.2034974
18.6325,84.673,135.3838333,1.222166667,85,309,21.79023339
19.28466667,77.20783333,277.9078333,0.944166667,45,93,21.63506586
19.21716667,75.11133333,240.1248333,1.306833333,6,0,21.39791724
18.13616667,71.676,123.2433333,1.409,47,590,19.36408019
19.29183333,66.65216667,115.233,1.316833333,69,758,20.46708899
20.92016667,61.40883333,193.7745,0.6135,80,843,22.16935361
20.94483333,64.45983333,233.3811667,0.5085,86,882,23.45704525
20.9995,64.5605,214.7721667,0.726333333,87,889,24.1385414
20.90883333,66.54566667,228.5423333,1.183833333,83,867,24.54833596
21.00433333,66.16933333,231.2971667,0.6695,75,807,24.74585248
20.81116667,69.16433333,116.0026667,1.144166667,59,681,24.62508791
20.33566667,69.53516667,209.1281667,1.3825,30,298,23.95244619
19.8715,67.90833333,273.6976667,0.7175,6,0,23.01863432
18.2545,52.55516667,81.262,0.822,50,459,19.33423381
20.01216667,49.40683333,263.7996667,0.418,73,550,20.59884265
20.30383333,50.85066667,273.1305,0.974833333,104,498,21.82799555
20.927,46.237,279.6883333,1.018,117,536,22.69159601
21.682,51.085,168.264,1.016666667,97,692,23.76823538
21.96,49.92766667,123.4295,0.627166667,91,723,24.63776114
22.193,51.37933333,172.7703333,0.788166667,86,679,25.1723582
22.019,56.579,225.8548333,0.6745,67,559,25.24759393
21.57683333,61.81266667,68.6535,0.735166667,30,235,24.73967784
21.21566667,52.34183333,117.2721667,0.4725,5,0,23.9386407
19.6055,49.08283333,111.5553333,1.137166667,59,250,20.65279374
20.59816667,36.68708333,125.5334167,1.167666667,102,352,21.47855082
21.62066667,35.06833333,202.6388333,0.838833333,133,422,22.6932735
22.144,35.99,227.1891667,1.2835,146,493,23.75843355
22.34616667,38.50083333,252.6571667,2.182333333,151,458,24.45914051
22.162,44.21166667,239.8746667,1.828833333,136,354,24.70476612
22.11966667,49.83233333,267.4085,1.741333333,107,314,24.714924
22.17133333,53.93783333,225.5688333,1.177,79,313,24.6880315
21.85016667,55.07166667,279.556,0.946833333,36,156,24.36420394
20.89066667,59.14783333,232.7891667,1.531333333,6,0,23.54752804
17.994,61.74316667,129.741,1.200833333,47,50,18.82527308
19.06583333,62.4695,142.2953333,0.7325,80,29,19.40523693
20.202,64.01833333,221.9745,0.84,98,3,20.2699609
19.9175,66.20533333,264.0096667,1.704,105,2,20.54633815
20.19416667,68.98116667,182.1688333,0.855833333,105,10,20.67478201
20.5195,66.10583333,206.7,0.876833333,94,32,20.95537207
20.37766667,63.06033333,195.3625,1.534166667,97,80,21.0928107
20.8825,55.38283333,213.1041667,0.854666667,83,164,21.3819182
20.57466667,54.23216667,196.756,2.576833333,34,107,21.50988106
20.00933333,58.3685,166.615,1.235333333,6,0,21.17592069
14.54983333,83.39483333,219.4601667,1.672833333,54,476,16.61511779
13.38233333,86.4835,163.3031667,1.764166667,79,684,16.17251841
13.7445,86.66666667,128.093,1.858166667,88,797,16.31418585
14.72916667,81.232,128.5233333,1.611166667,95,840,17.16138815
16.5865,71.70733333,112.9071667,1.951333333,93,864,18.56543165
18.51033333,59.44383333,139.8736667,1.161,83,867,20.26888489
18.4705,57.80283333,155.0161667,1.1275,73,814,21.17082324
16.915,66.9165,176.154,2.256666667,57,698,20.60413757
15.73216667,70.39816667,161.0371667,1.289,30,310,19.33150625
15.29866667,77.86716667,168.5466667,1.356333333,6,0,18.259207
16.33266667,65.65166667,189.497,1.242166667,50,404,17.00946064
16.23133333,68.92,154.3808333,1.721166667,75,642,17.58123312
16.73233333,66.9705,132.6938333,2.177333333,91,753,18.41893833
15.63516667,76.23266667,191.0076667,1.395833333,95,792,18.79604267
14.32883333,86.7795,148.6961667,1.213666667,100,772,18.39129942
15.3895,77.76666667,186.4158333,1.027833333,95,779,18.62764354
14.70566667,79.507,115.945,2.194166667,77,778,18.7739495
15.59333333,73.06983333,117.3056667,1.772333333,63,664,18.83588244
16.21183333,69.09066667,120.3036667,1.482666667,33,290,18.99491567
16.1325,66.57066667,124.3388333,1.322666667,7,0,18.65783174
14.8005,81.5235,115.8131667,1.6305,58,508,15.82113184
14.502,86.12266667,146.3293333,0.966166667,84,685,16.41302564
16.48933333,73.63566667,196.8576667,2.1005,90,811,17.73673528
16.72616667,67.99166667,239.044,2.947,91,870,19.124364
17.57416667,63.30416667,249.0903333,2.061166667,89,885,20.15031744
17.938,56.89133333,280.444,2.098666667,83,871,21.02068515
17.74166667,52.93866667,242.5916667,2.881833333,78,802,21.30536229
17.71833333,53.4005,273.728,3.056666667,66,667,21.2214321
17.49566667,56.395,266.444,2.537,36,292,20.78229724
17.3585,57.1965,263.827,2.360333333,8,0,20.12315224
15.44416667,77.48116667,189.0336667,1.839,59,186,16.3665335
14.8045,82.7115,198.4335,1.181666667,101,347,16.5596738
14.52083333,82.539,131.5671667,2.3385,128,480,16.69241779
15.1395,79.3795,118.8068333,1.6855,129,533,17.27469441
13.87483333,85.52833333,164.5718333,2.348,127,548,17.30539211
13.45233333,88.0675,120.6496667,2.763,119,527,16.9392579
15.0405,79.527,157.6256667,1.933333333,100,539,17.52357779
14.1085,86.4185,273.2875,4.798166667,81,468,17.51196974
14.45266667,82.14316667,260.3026667,2.997333333,40,335,17.12967159
14.83283333,81.26966667,135.2095,0.622,7,0,16.9700411
13.7035,86.25566667,153.3688333,1.883166667,83,107,14.85498802
13.938,84.40033333,118.8311667,2.028,138,312,15.2490649
15.20166667,77.019,133.0373333,1.327,190,273,16.18035118
14.89733333,81.2975,125.917,1.625,217,102,16.62749251
15.03983333,80.021,156.6823333,0.949166667,212,47,16.66452434
15.48866667,76.83283333,100.1223333,1.096166667,185,41,16.90891323
17.22566667,65.86166667,116.493,0.908166667,128,63,17.75360274
16.313,68.2625,148.3526667,1.7405,73,41,17.90022034
14.59783333,75.81366667,122.1588333,2.284,32,19,16.88811428
14.499,78.35683333,102.931,1.581,7,0,16.20419712
14.064,75.04433333,118.465,1.408,53,248,14.84213006
15.1245,70.98466667,112.9103333,1.912,84,499,15.8565811
16.64216667,63.3495,111.1651667,1.698833333,117,606,17.23969234
15.73883333,70.70366667,236.409,2.825,144,649,17.95212232
14.184,84.03966667,210.9096667,1.103,134,710,17.5737106
15.86416667,76.66683333,121.5951667,1.146166667,113,723,18.05201466
15.3025,76.08833333,123.3445,1.745333333,104,687,18.47402368
15.31466667,74.70133333,118.7055,2.227666667,74,645,18.32995873
15.09533333,71.809,119.9053333,2.219833333,35,515,18.02909135
15.13133333,69.29816667,128.9356667,2.2705,8,0,17.52890031
16.94383333,46.63716667,139.4933333,0.884166667,67,414,17.51120691
17.39483333,47.28016667,134.1121667,2.071833333,116,470,18.30843669
17.786,46.1405,142.239,1.598333333,157,509,19.12013167
18.06816667,45.752,162.4381667,1.4235,178,554,19.93210383
18.6215,48.2045,158.375,1.5615,213,477,20.71269069
18.31166667,52.11133333,180.4696667,1.122333333,219,413,21.09372756
17.94833333,51.497,160.7851667,1.406333333,165,454,21.01910476
17.346,54.1595,145.6243333,1.1775,107,459,20.67363496
17.4055,54.14216667,123.8438333,1.514333333,45,418,20.338439
17.55366667,54.75233333,133.7743333,1.546,9,0,19.98399169
15.6045,47.48583333,117.8065,1.8085,49,576,16.67662623
16.2415,47.894,121.5716667,1.532333333,67,776,17.63091229
17.13583333,48.54983333,110.2476667,1.473833333,78,858,18.87450318
18.50583333,50.10683333,154.484,0.531,84,894,20.41370235
18.86083333,50.4335,135.752,1.453166667,86,898,21.62567363
18.52583333,56.44983333,242.5016667,1.692833333,83,876,22.07614202
18.65566667,59.42133333,174.8121667,0.982166667,76,821,22.25936588
18.58816667,59.29183333,207.2108333,1.338,62,712,22.25174289
18.4085,62.1825,267.1588333,1.452166667,35,528,21.8957882
18.0335,66.62166667,171.5786667,0.982,9,0,21.14147931
16.54266667,56.89033333,124.9781667,1.2645,51,559,17.68532728
17.4305,52.4645,95.238,1.767,78,694,18.71427863
18.70716667,58.57233333,185.6848333,1.075333333,88,801,20.15482074
19.10083333,61.264,166.5126667,0.720666667,105,815,21.41704077
19.55333333,60.06916667,269.5741667,1.253833333,112,805,22.32495394
19.49066667,62.1945,252.5718333,1.441166667,93,833,22.89430919
19.67616667,62.49116667,251.759,1.1755,81,796,23.1966865
19.4025,63.00066667,298.6771667,1.815166667,65,690,23.13268439
19.15183333,62.78116667,238.2516667,0.894333333,36,513,22.68332327
18.62716667,63.49066667,228.4896667,0.896833333,9,0,21.84268531
16.8265,51.76066667,123.7865,1.694666667,58,489,17.92485094
17.83,50.67816667,116.7025,2.095166667,78,673,19.01612237
19.21666667,60.02916667,190.2985,1.024833333,91,791,20.54238213
19.29083333,64.645,279.0436667,1.329166667,96,821,21.72335508
19.78683333,63.53616667,244.7123333,1.3105,102,803,22.5365474
19.56516667,66.17366667,299.0053333,1.724333333,105,768,23.01515359
19.537,66.15066667,240.026,1.997666667,92,709,23.11544551
19.7705,62.28333333,294.4731667,1.3845,74,600,23.14167926
19.439,66.41083333,300.9385,1.527333333,39,459,22.84139997
18.6225,70.0415,262.9843333,1.274,9,0,21.89508477
16.96133333,57.88366667,129.4721667,1.406666667,61,447,18.14288034
18.58666667,56.44616667,121.801,1.2815,91,593,19.39821801
19.82483333,60.15616667,174.8343333,0.9085,107,704,21.04485915
19.55416667,64.02283333,234.0353333,1.015833333,130,708,22.01857926
19.57266667,62.63766667,308.1466667,1.153833333,159,575,22.43413435
19.60533333,58.75866667,291.6641667,1.998166667,149,562,22.74034175
19.6835,59.73716667,291.5033333,1.689833333,115,545,22.9128329
19.6155,61.07016667,302.794,1.3505,94,374,22.79676176
19.3865,64.90483333,306.3553333,1.267666667,53,254,22.40717505
18.61766667,69.00716667,232.6968333,0.763333333,10,0,21.57994365
18.63666667,38.447,99.00666667,0.537666667,68,284,19.13458922
19.28666667,35.6465,140.906,1.122,106,365,20.06902914
19.11916667,46.7085,271.6648333,0.6585,119,482,20.73670191
19.632,48.74666667,230.3981667,0.4045,133,547,21.4111981
20.04783333,44.87966667,194.487,0.6995,136,583,22.14754704
20.021,49.037,132.7686667,0.376,114,609,22.53564883
20.0095,46.8625,135.8253333,0.488333333,89,587,22.62982496
19.823,48.62066667,218.6705,0.499666667,70,540,22.53295052
19.57883333,51.16966667,159.035,0.511833333,39,419,22.19125759
19.271,50.18583333,126.8493333,0.845166667,9,0,21.58313982
19.89733333,47.95633333,79.76483333,0.671333333,58,565,20.55326645
21.81083333,38.4135,133.9638333,0.662333333,81,732,22.0671212
22.62183333,32.599,224.9855,0.5595,84,861,23.75612296
23.22766667,30.70566667,225.7575,0.521,88,905,25.07070951
22.57566667,41.43216667,230.0651667,1.170333333,91,902,25.71010668
21.83733333,50.08516667,288.5421667,1.1825,90,872,25.66615774
21.69816667,54.47566667,181.5806667,0.562333333,86,808,25.54775725
21.58866667,57.91183333,252.9895,0.705166667,74,690,25.37202453
21.41716667,59.28033333,262.3511667,1.581666667,43,501,24.93669736
21.06833333,53.09266667,263.248,0.976666667,11,0,24.14073762
17.63533333,61.14666667,92.69833333,1.616166667,50,628,18.58384546
17.94533333,61.38383333,102.2433333,1.282,71,795,19.50258705
17.18216667,69.4945,103.5031667,0.613833333,82,876,19.95875685
17.49066667,69.92816667,143.8588333,1.1895,89,908,20.43359908
17.76283333,73.4265,103.156,2.325,90,916,21.07795661
17.26633333,81.34416667,275.6765,2.867166667,88,898,21.25506659
17.416,78.458,225.2765,1.772666667,80,847,21.25731608
18.80033333,69.85066667,271.1005,0.9415,67,742,21.80793238
17.25383333,76.26133333,158.5016667,1.520833333,40,555,21.32436279
17.2655,75.58783333,249.5296667,1.410333333,11,0,20.34372274
14.86833333,83.74433333,126.2836667,1.573,52,614,16.46395905
15.76183333,76.21533333,121.1196667,1.614333333,72,785,17.31347714
15.5165,79.2155,177.438,1.784666667,108,781,18.04227603
15.32483333,82.1505,164.4445,1.025333333,148,709,18.3836669
16.159,76.34866667,208.746,0.802666667,154,716,19.0413066
16.24766667,72.50833333,195.681,1.160666667,137,720,19.64191299
15.32016667,79.12916667,123.6721667,1.6155,109,720,19.44646005
16.2905,73.21266667,109.2271667,1.808333333,80,651,19.50160139
16.0775,72.5085,203.8873333,1.487166667,45,468,19.41697057
15.45116667,80.19766667,121.1248333,1.7355,11,0,18.62290028
15.50216667,66.23083333,122.82,1.845166667,63,287,16.50043371
14.87033333,74.8005,148.5491667,1.01,124,260,16.60469687
15.117,73.61566667,120.1258333,1.186833333,175,233,16.79144704
15.5395,72.58616667,109.2535,2.206333333,182,365,17.37699353
14.5375,81.9545,100.3896667,1.500833333,165,486,17.48630734
14.021,83.66266667,116.0326667,1.436666667,159,358,17.14977668
